[183984.67567905152, -49563.37791522091]
[172134.96604434313, -46318.92943699]
[167441.11016034064, -45014.88154843001]
[170992.04525922748, -45974.23347878]
[172723.09560203317, -46484.828804090015]
[180651.24354417084, -48638.099602196]
[182283.75069548562, -49068.441423528]
[150214.32391392865, -40365.28443112001]
[165616.46530634456, -44533.53802216001]
[166942.45486798338, -44889.77599170572]
[159341.86566676575, -42821.37820137429]
[169924.0450360385, -45679.911756160014]
[166212.1161867145, -44719.041673720014]
[162097.81555164748, -43590.954319220014]
[167337.6714586775, -44890.998388060005]
[165851.42084474693, -44671.96045092]
[158944.1948464406, -42729.54832835001]
[154650.21241192063, -41552.53276279001]
[153060.6950333831, -41101.477099036005]
[152702.23101000307, -40998.053447936014]
[154245.6187769127, -41403.31030439]
[151531.32578240574, -40746.64762351429]
[163680.093149024, -44046.94442289001]
[179090.14724489316, -48082.028865910004]
[154891.68674349063, -41633.25027786]
[168190.31763927176, -45311.33376362]
[169521.08227351695, -45662.75940300001]
[148736.31123678313, -39933.811734846]
[141987.70682300313, -38112.801280776]
[160513.85050850696, -43205.171122290005]
[163344.55535310748, -43903.861484839996]
[157932.69023379663, -42346.74104140001]
[152115.36476334257, -40919.60898953001]
[144997.27786813062, -38971.887247080005]
[149290.23936752864, -40068.280564240005]
[165205.8962451778, -44467.777486890016]
[164210.57326916693, -44053.08876320858]
[163310.89406894753, -43744.95149262]
[148214.69730904273, -39709.40206043001]
[138940.2221791935, -37311.009053332]
[153103.3672782099, -41214.19737322286]
[158657.43876438696, -42712.13328193001]
[145069.37153253105, -39013.108140717144]
[140952.20306331347, -37856.608197572]
[149964.40668229386, -40285.585009238]
[147318.91728705337, -39499.13339108572]
[155757.65108556696, -41843.21461696]
[167913.7273134685, -45136.721555820004]
[138091.0746731835, -36986.475802992]
[146703.48738441238, -39094.469570413996]
[149389.68873645345, -40230.577878460004]
[136654.95772194274, -36525.33956526001]
[132150.51723802977, -35323.95299147999]
[126208.7565745098, -33719.233172800006]
[164500.13754664455, -44179.29705880001]
[131771.98544712382, -35240.357754448]
[129561.25275409062, -34609.8304312]
[135326.40351049384, -36337.87766263799]
[147780.42626806255, -39504.74531142999]
[162681.74426800347, -43637.05810614999]
[143142.7840828226, -38269.428394970004]
[138507.30889209665, -37099.98900066]
[131934.8224427298, -35278.56088499]
[133915.67133038418, -35860.236990654]
[131145.19197517092, -34949.324963600004]
[143458.10883029242, -38582.98674264]
[143084.57673689385, -38255.29477376801]
[136990.86998795453, -36778.96422857]
[133250.7740946842, -35606.26378046399]
[140426.3484790146, -37430.765605609995]
