[1140173.0, 2100.0]
[1151798.25, 2220.0]
[1097311.75, 2112.0]
[1102413.625, 2244.0]
[1160128.0, 2016.0]
[1146183.25, 2136.0]
[1147751.125, 2268.0]
[1099550.125, 1932.0]
[1110615.875, 2340.0]
[1143547.75, 1872.0]
[1117544.0, 2256.0]
[1101478.75, 2208.0]
[1127571.375, 2160.0]
[1108996.375, 2364.0]
[1124759.75, 1992.0]
[1127501.875, 2088.0]
[1140320.25, 1992.0]
[1067532.5, 1992.0]
[1114221.375, 2136.0]
[1179763.0, 2148.0]
[1131087.25, 2280.0]
[1113804.125, 2280.0]
[1265242.5, 2148.0]
[1159681.25, 2028.0]
[1196296.25, 2244.0]
[1167686.875, 2208.0]
[1138826.75, 1992.0]
[1145573.25, 1920.0]
[1127265.5, 1980.0]
[1160885.25, 2100.0]
[1066799.75, 2136.0]
[1199154.125, 2316.0]
[1174089.125, 2028.0]
[1197760.5, 2160.0]
[1199225.75, 2100.0]
[1101752.25, 2112.0]
[1216400.5, 2100.0]
[1132840.25, 2112.0]
[1130096.625, 2244.0]
[1086418.0, 2148.0]
[1143483.5, 1776.0]
[1178653.0, 2280.0]
[1167706.375, 2220.0]
[1210033.5, 2124.0]
[1100720.875, 2232.0]
[1184295.875, 2160.0]
[1281146.75, 2268.0]
[1172147.125, 1968.0]
[1110370.0, 2160.0]
[1094251.25, 2052.0]
[1059688.875, 2196.0]
[1080967.5, 2316.0]
[1156255.75, 1980.0]
[1188077.25, 1968.0]
[1207246.5, 2136.0]
[1232160.25, 2136.0]
[1180431.625, 2004.0]
[1104592.875, 2076.0]
[1144629.5, 1992.0]
[1135520.0, 2232.0]
[1135727.0, 1968.0]
[1143727.875, 2076.0]
[1124916.5, 2232.0]
[1102164.25, 2232.0]
[1160425.25, 2160.0]
[1181536.375, 2172.0]
[1177162.0, 2316.0]
[1157714.0, 2040.0]
[1229045.375, 2292.0]
[1203706.125, 2064.0]
[1159140.875, 2040.0]
[1183106.375, 2292.0]
[1210009.75, 2304.0]
[1106055.5, 2280.0]
[1112499.0, 2040.0]
[1153908.875, 2028.0]
[1107325.875, 2028.0]
[1151621.5, 2196.0]
[1178477.0, 1320.0]
[1189046.75, 2268.0]
[1183074.375, 2280.0]
[1111988.0, 1956.0]
[1159252.25, 1848.0]
[1154419.25, 2148.0]
[1127550.0, 1884.0]
[1157785.5, 1872.0]
[1182367.0, 2268.0]
[1211986.375, 2196.0]
[1090825.375, 1992.0]
[1102251.625, 2232.0]
[1188113.375, 2076.0]
[1143326.0, 1716.0]
[1196449.0, 2136.0]
[1147695.625, 2256.0]
[1127981.125, 2256.0]
[1100843.125, 1944.0]
[1187182.25, 2220.0]
[1197977.75, 2400.0]
[1182361.25, 2400.0]
[1144685.625, 2292.0]
