[88186.796875, 1740.0]
[87384.1953125, 1944.0]
[81398.078125, 2004.0]
[94522.953125, 1824.0]
[80106.3359375, 1932.0]
[86648.953125, 1980.0]
[86481.0703125, 1884.0]
[80953.9609375, 1812.0]
[83183.1015625, 1500.0]
[71664.1328125, 1872.0]
[76959.1875, 1872.0]
[75080.640625, 1860.0]
[85870.484375, 1488.0]
[80306.046875, 1932.0]
[82061.7578125, 1860.0]
[74714.8828125, 1944.0]
[89350.46875, 1884.0]
[91297.9609375, 1920.0]
[95788.5859375, 2004.0]
[83971.171875, 2088.0]
[89809.3828125, 1644.0]
[72957.2578125, 1560.0]
[86781.078125, 1956.0]
[81664.5390625, 1896.0]
[85703.6953125, 1944.0]
[92682.7265625, 1944.0]
[81211.0234375, 1932.0]
[81194.203125, 1920.0]
[76404.0, 1944.0]
[71769.359375, 1764.0]
[99861.265625, 1896.0]
[81852.25, 1764.0]
[80759.5078125, 1692.0]
[87611.46875, 1812.0]
[88906.9609375, 1788.0]
[94069.671875, 2040.0]
[76722.546875, 1860.0]
[64298.47265625, 1872.0]
[87089.703125, 2040.0]
[84972.9921875, 1248.0]
[87054.609375, 1620.0]
[83776.3515625, 1836.0]
[84426.96875, 1956.0]
[74685.359375, 1680.0]
[79114.3203125, 1836.0]
[70359.7421875, 2028.0]
[76503.796875, 1716.0]
[87437.9921875, 1968.0]
[88353.2421875, 2040.0]
[101624.03125, 1968.0]
[98362.375, 2004.0]
[82781.7578125, 1644.0]
[87879.46875, 1656.0]
[73628.75, 1872.0]
[78749.0859375, 1944.0]
[86382.0703125, 1344.0]
[82117.0625, 1668.0]
[83202.5078125, 1860.0]
[82430.5, 1884.0]
[80109.7578125, 1788.0]
[90903.5234375, 1908.0]
[80068.5390625, 1548.0]
[69194.2734375, 1524.0]
[78287.4453125, 1872.0]
[88223.765625, 1992.0]
[74421.0859375, 1752.0]
[81699.4375, 1908.0]
[89302.140625, 1884.0]
[77431.6015625, 1776.0]
[75648.046875, 1656.0]
[75470.296875, 1932.0]
[76398.3359375, 1584.0]
[75970.21875, 1968.0]
[78803.3203125, 1944.0]
[87154.953125, 2016.0]
[75769.9453125, 1848.0]
[87319.0625, 2040.0]
[75421.2109375, 1776.0]
[87363.140625, 1944.0]
[89279.796875, 1644.0]
[81612.8125, 1848.0]
[90510.1484375, 2040.0]
[82067.1796875, 1932.0]
[86218.5390625, 1908.0]
[78855.984375, 1884.0]
[84560.4140625, 1740.0]
[81321.453125, 1980.0]
[75924.78125, 1968.0]
[77279.015625, 1932.0]
[69475.0, 1980.0]
[70586.078125, 1788.0]
[77183.359375, 1884.0]
[88332.203125, 1884.0]
[91885.125, 1956.0]
[85699.6328125, 1608.0]
[83385.984375, 1944.0]
[82795.453125, 2016.0]
[76044.875, 1980.0]
[89749.6484375, 1776.0]
[79774.046875, 1776.0]
