[-0.13203883495145632, 0.06884681583476764, 0.21666666666666667, -0.1, 0.49316628701594534, 0.6834532374100719, 0.11434108527131782, 0.1569877471089094]	134732.0,40.0,84.0,5.0,994.0,174.0,1156.0,0.6670587283087284	 -0.13203883495145632,0.06884681583476764,0.21666666666666667,-0.1,0.49316628701594534,0.6834532374100719,0.11434108527131782,0.1569877471089094	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 3 2 8 5 6 4 2 3 10 6 10 0  R3: 0 9 7 6 10 6 4 10 1 0  R4: 0 7 1 8 2 6 8 10 5 7 0  R5: 0 8 11 8 1 5 1 7 8 2 9 1 0  
[-0.15857605177993528, 0.10671256454388985, 0.5916666666666667, -0.1, 0.5580865603644647, 0.5251798561151079, 0.1375968992248062, 0.08800720548558011]	133420.0,62.0,129.0,5.0,1051.0,152.0,1168.0,0.6495039682539683	 -0.15857605177993528,0.10671256454388985,0.5916666666666667,-0.1,0.5580865603644647,0.5251798561151079,0.1375968992248062,0.08800720548558011	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 6 1 11 8 1 9 10 6 7 2 10 2 6 10 6 9 2 6 3 10 6 10 4 0  R3: 0 7 2 9 0  R4: 0 2 8 5 1 6 2 11 6 4 3 6 2 3 5 8 4 10 1 0  R5: 0 5 7 1 8 9 7 1 0  
[-0.13816747572815535, 0.11187607573149742, 0.275, -0.2, 0.6765375854214123, 0.697841726618705, -0.060077519379844964, -0.21989824103820074]	134429.0,65.0,91.0,4.0,1155.0,176.0,1066.0,0.571145548530417	 -0.13816747572815535,0.11187607573149742,0.275,-0.2,0.6765375854214123,0.697841726618705,-0.060077519379844964,-0.21989824103820074	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 3 2 8 5 10 6 3 10 6 4 1 10 0  R3: 0 1 11 7 8 6 8 1 8 2 9 6 10 7 1 4 2 6 0  R4: 0 7 8 1 2 10 7 5 7 1 0  
[-0.13389967637540454, 0.08605851979345955, 0.275, -0.2, 0.5968109339407744, 0.7194244604316546, 0.02131782945736434, -0.10772058504838716]	134640.0,50.0,91.0,4.0,1085.0,179.0,1108.0,0.599693480861244	 -0.13389967637540454,0.08605851979345955,0.275,-0.2,0.5968109339407744,0.7194244604316546,0.02131782945736434,-0.10772058504838716	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 3 2 8 5 6 10 3 10 6 4 1 10 0  R3: 0 1 11 7 8 6 8 1 8 2 9 7 10 6 4 1 2 6 0  R4: 0 7 8 1 2 10 7 5 7 1 0  
[0.08681229773462783, 0.22547332185886404, 0.4083333333333333, 0.0, 0.5045558086560364, 0.2733812949640288, 0.3875968992248062, 0.24776512361069186]	145552.0,131.0,107.0,6.0,1004.0,117.0,1297.0,0.6901605339105339	 0.08681229773462783,0.22547332185886404,0.4083333333333333,0.0,0.5045558086560364,0.2733812949640288,0.3875968992248062,0.24776512361069186	 50 R1: 0 3 1 3 2 5 1 6 9 10 6 8 1 5 7 1 10 7 8 1 5 2 3 0  R2: 0 7 9 7 10 0  R3: 0 10 6 1 5 9 1 4 8 6 0  R4: 0 7 8 1 2 10 7 9 3 6 5 11 10 6 4 8 3 6 10 1 0  R5: 0 5 1 7 3 4 0  R6: 0 5 2 10 11 5 8 1 6 11 6 4 1 2 9 7 8 2 6 4 3 0  
[-0.12477750809061489, 0.10154905335628227, 0.5166666666666667, 0.1, 0.6093394077448747, 0.4028776978417266, 0.1124031007751938, 0.2579115124452713]	135091.0,59.0,120.0,7.0,1096.0,135.0,1155.0,0.6927426739926741	 -0.12477750809061489,0.10154905335628227,0.5166666666666667,0.1,0.6093394077448747,0.4028776978417266,0.1124031007751938,0.2579115124452713	 50 R1: 0 10 7 0  R2: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R3: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 3 2 8 5 2 6 3 6 10 4 0  R4: 0 9 7 6 10 6 4 10 1 0  R5: 0 7 1 8 2 0  R6: 0 11 8 7 6 8 1 0  R7: 0 5 7 8 2 1 9 0  
[0.09308252427184466, 0.17900172117039587, 0.6916666666666667, 0.2, 0.6753986332574032, 0.2805755395683453, 0.1298449612403101, 0.45465836094660794]	145862.0,104.0,141.0,8.0,1154.0,118.0,1164.0,0.7428125	 0.09308252427184466,0.17900172117039587,0.6916666666666667,0.2,0.6753986332574032,0.2805755395683453,0.1298449612403101,0.45465836094660794	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 6 10 1 3 0  R2: 0 6 8 11 8 2 1 8 6 10 2 1 6 9 0  R3: 0 1 8 0  R4: 0 7 2 9 8 1 9 6 10 4 3 2 3 4 0  R5: 0 1 5 0  R6: 0 11 7 0  R7: 0 5 1 7 0  R8: 0 5 10 2 5 8 6 2 10 7 3 9 7 6 10 1 5 6 3 10 4 0  
[0.11595873786407768, 0.14974182444061962, 0.3, 0.2, 0.49658314350797267, 0.3381294964028777, 0.3178294573643411, 0.5777527718999891]	146993.0,87.0,94.0,8.0,997.0,126.0,1261.0,0.7741386217948718	 0.11595873786407768,0.14974182444061962,0.3,0.2,0.49658314350797267,0.3381294964028777,0.3178294573643411,0.5777527718999891	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 5 2 6 8 6 4 9 6 10 3 0  R3: 0 7 1 8 2 1 10 7 8 1 9 7 10 6 0  R4: 0 3 6 3 4 0  R5: 0 11 8 1 6 7 5 1 8 0  R6: 0 5 7 0  R7: 0 10 1 3 10 0  R8: 0 2 6 0  
[0.23246359223300972, 0.11359724612736662, 0.6666666666666666, 0.5, 0.42369020501138954, 0.1366906474820144, 0.3953488372093023, 0.7732574609783414]	152753.0,66.0,138.0,11.0,933.0,98.0,1301.0,0.8238923324150597	 0.23246359223300972,0.11359724612736662,0.6666666666666666,0.5,0.42369020501138954,0.1366906474820144,0.3953488372093023,0.7732574609783414	 50 R1: 0 9 10 8 2 8 9 1 7 3 0  R2: 0 3 9 1 4 3 8 1 6 10 5 8 3 6 5 7 10 6 4 10 6 3 10 1 5 4 0  R3: 0 5 2 9 0  R4: 0 2 5 0  R5: 0 7 2 0  R6: 0 6 10 0  R7: 0 11 7 0  R8: 0 3 4 0  R9: 0 5 10 2 1 8 5 6 9 11 9 2 7 10 5 6 1 11 8 3 6 10 1 0  R10: 0 8 6 1 4 3 9 7 0  R11: 0 2 6 0  
[0.13705501618122978, 0.2977624784853701, 0.23333333333333334, 0.1, 0.43507972665148065, 0.38848920863309355, 0.5368217054263565, 0.45823411667279434]	148036.0,173.0,86.0,7.0,943.0,133.0,1374.0,0.7437224889955982	 0.13705501618122978,0.2977624784853701,0.23333333333333334,0.1,0.43507972665148065,0.38848920863309355,0.5368217054263565,0.45823411667279434	 50 R1: 0 3 9 1 3 1 8 5 4 6 8 9 11 2 9 10 6 8 1 8 1 5 3 0  R2: 0 7 9 7 10 0  R3: 0 2 5 9 2 8 3 5 1 10 2 6 4 0  R4: 0 2 7 2 9 5 8 11 6 3 6 10 5 6 4 7 10 6 4 3 6 10 1 0  R5: 0 7 3 0  R6: 0 5 10 6 5 11 7 5 1 9 10 5 1 7 2 8 0  R7: 0 4 3 0  
[0.024898867313915857, 0.07917383820998279, 0.625, 0.1, 0.6537585421412301, 0.4460431654676259, -0.01744186046511628, 0.34005777310431584]	142491.0,46.0,133.0,7.0,1135.0,141.0,1088.0,0.7136479591836735	 0.024898867313915857,0.07917383820998279,0.625,0.1,0.6537585421412301,0.4460431654676259,-0.01744186046511628,0.34005777310431584	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 3 2 8 5 10 6 3 10 6 4 1 10 0  R3: 0 1 11 7 8 0  R4: 0 7 2 8 6 10 7 1 8 9 2 6 4 10 6 7 9 0  R5: 0 5 1 8 1 7 0  R6: 0 8 1 0  R7: 0 2 6 0  
[-0.11759708737864077, 0.0774526678141136, 0.6833333333333333, 0.0, 0.673120728929385, 0.45323741007194246, -0.05426356589147287, 0.24257334565919947]	135446.0,45.0,140.0,6.0,1152.0,142.0,1069.0,0.6888392857142858	 -0.11759708737864077,0.0774526678141136,0.6833333333333333,0.0,0.673120728929385,0.45323741007194246,-0.05426356589147287,0.24257334565919947	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 3 2 8 5 10 6 3 10 6 4 1 10 0  R3: 0 1 11 8 6 7 10 1 8 7 2 9 6 10 6 7 2 6 4 0  R4: 0 7 2 0  R5: 0 5 1 8 1 7 0  R6: 0 8 1 0  
[0.19271844660194173, 0.22030981067125646, 0.6416666666666667, 0.5, 0.765375854214123, 0.3597122302158273, -0.029069767441860465, 0.5648144223494899]	150788.0,128.0,135.0,11.0,1233.0,129.0,1082.0,0.7708459595959596	 0.19271844660194173,0.22030981067125646,0.6416666666666667,0.5,0.765375854214123,0.3597122302158273,-0.029069767441860465,0.5648144223494899	 50 R1: 0 10 7 3 2 8 6 0  R2: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 6 10 1 3 0  R3: 0 6 9 11 4 6 9 8 10 6 4 10 2 6 7 3 1 0  R4: 0 7 1 8 2 0  R5: 0 1 5 0  R6: 0 6 10 0  R7: 0 3 10 0  R8: 0 3 4 0  R9: 0 5 10 2 5 11 8 1 2 5 1 8 1 2 9 7 6 0  R10: 0 6 4 0  R11: 0 2 9 0  
[0.37057038834951456, 0.26506024096385544, 0.31666666666666665, 0.6, 0.26765375854214124, 0.5323741007194245, 0.7034883720930233, 0.8270854499673791]	159581.0,154.0,96.0,12.0,796.0,153.0,1460.0,0.8375909408732636	 0.37057038834951456,0.26506024096385544,0.31666666666666665,0.6,0.26765375854214124,0.5323741007194245,0.7034883720930233,0.8270854499673791	 50 R1: 0 3 9 1 3 1 8 5 4 6 8 9 11 2 9 10 6 8 1 8 3 0  R2: 0 5 7 0  R3: 0 10 5 6 5 10 7 2 9 2 5 11 10 7 2 8 6 4 0  R4: 0 9 7 0  R5: 0 1 6 5 10 0  R6: 0 2 5 11 7 5 1 8 6 9 3 6 10 7 10 5 1 2 6 3 4 10 0  R7: 0 6 10 4 3 0  R8: 0 8 1 0  R9: 0 7 10 1 3 0  R10: 0 3 4 0  R11: 0 5 7 1 0  R12: 0 9 2 0  
[0.10378236245954693, 0.18244406196213425, 0.5833333333333334, 0.2, 0.6697038724373576, 0.4244604316546763, 0.06976744186046512, 0.38590761467581347]	146391.0,106.0,128.0,8.0,1149.0,138.0,1133.0,0.7253162202380952	 0.10378236245954693,0.18244406196213425,0.5833333333333334,0.2,0.6697038724373576,0.4244604316546763,0.06976744186046512,0.38590761467581347	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 10 5 10 2 6 2 9 5 2 9 11 6 10 4 2 8 6 10 6 10 4 5 3 6 10 1 0  R3: 0 1 11 7 8 0  R4: 0 7 2 8 6 10 7 3 9 1 2 6 8 7 9 0  R5: 0 5 1 8 1 7 0  R6: 0 3 4 0  R7: 0 8 1 0  R8: 0 2 6 4 0  
[0.14601537216828478, 0.07917383820998279, 0.4583333333333333, 0.5, 0.3952164009111617, 0.3597122302158273, 0.374031007751938, 0.8149033703710159]	148479.0,46.0,113.0,11.0,908.0,129.0,1290.0,0.8344907407407407	 0.14601537216828478,0.07917383820998279,0.4583333333333333,0.5,0.3952164009111617,0.3597122302158273,0.374031007751938,0.8149033703710159	 50 R1: 0 3 9 1 3 5 4 8 6 9 10 7 10 5 7 5 11 7 1 8 1 5 3 0  R2: 0 2 8 0  R3: 0 10 5 10 6 1 8 1 2 10 5 11 1 8 6 1 10 6 7 10 2 3 10 6 10 1 0  R4: 0 2 5 7 2 9 6 8 0  R5: 0 6 10 0  R6: 0 11 7 8 1 0  R7: 0 3 4 0  R8: 0 6 4 0  R9: 0 2 9 0  R10: 0 9 2 0  R11: 0 4 3 9 7 6 4 0  
