[29534.673828125, 58466.0]
[29652.8359375, 57864.0]
[30320.0, 51148.0]
[30713.80078125, 63846.0]
[27696.599609375, 52174.0]
[28557.5, 58204.0]
[30328.97265625, 56096.0]
[25956.400390625, 54566.0]
[27228.69921875, 55326.0]
[27894.43359375, 43626.0]
[26106.30078125, 50324.0]
[29612.0, 45542.0]
[25527.984375, 59522.0]
[27006.80078125, 53160.0]
[31829.685546875, 50294.0]
[29618.736328125, 45044.0]
[32554.126953125, 57022.0]
[31445.353515625, 60228.0]
[30136.5, 65912.0]
[29500.80078125, 54628.0]
[28093.900390625, 61332.0]
[28580.400390625, 44092.0]
[29474.80078125, 57478.0]
[26438.06640625, 55048.0]
[30839.30078125, 54958.0]
[30293.9375, 62484.0]
[28783.30078125, 52642.0]
[29152.69921875, 52320.0]
[34146.1015625, 42588.0]
[27877.0, 43944.0]
[28979.208984375, 70964.0]
[30042.47265625, 51464.0]
[30337.599609375, 50230.0]
[30191.2265625, 57586.0]
[32962.7421875, 55942.0]
[30769.5625, 63792.0]
[29177.400390625, 47498.0]
[34496.8984375, 30084.0]
[30568.037109375, 56710.0]
[26192.333984375, 57810.0]
[29137.6640625, 57852.0]
[29911.0, 53922.0]
[32996.21484375, 51892.0]
[25280.5, 48758.0]
[27317.30078125, 51652.0]
[29385.826171875, 41404.0]
[30764.28515625, 45660.0]
[31299.791015625, 56598.0]
[29057.380859375, 59120.0]
[31534.900390625, 70366.0]
[30578.400390625, 68114.0]
[31336.599609375, 51566.0]
[27555.900390625, 59980.0]
[29757.517578125, 44408.0]
[30070.099609375, 48968.0]
[25085.0, 60728.0]
[28648.69921875, 52988.0]
[35247.1015625, 48124.0]
[27060.734375, 55456.0]
[30992.19921875, 48948.0]
[29708.599609375, 61394.0]
[24417.2578125, 55016.0]
[28104.400390625, 40880.0]
[30605.099609375, 47630.0]
[28232.865234375, 59696.0]
[28562.900390625, 45706.0]
[31651.814453125, 50050.0]
[28239.69921875, 61006.0]
[29092.80078125, 48202.0]
[24058.19921875, 50906.0]
[28561.900390625, 46864.0]
[26417.400390625, 49358.0]
[29861.236328125, 46046.0]
[27744.166015625, 50978.0]
[31812.583984375, 55666.0]
[30978.626953125, 44916.0]
[27576.666015625, 59816.0]
[27167.5, 48396.0]
[28431.80078125, 59188.0]
[31099.384765625, 58146.0]
[31048.69921875, 50494.0]
[33103.6171875, 57504.0]
[32655.0703125, 49652.0]
[29145.373046875, 57064.0]
[33065.828125, 45964.0]
[32063.328125, 52564.0]
[32433.939453125, 49314.0]
[31701.19921875, 44652.0]
[30364.626953125, 47238.0]
[26921.599609375, 42274.0]
[26551.400390625, 43674.0]
[29778.0, 47616.0]
[30391.80078125, 58000.0]
[29614.0, 62144.0]
[28392.0, 56928.0]
[29259.708984375, 53896.0]
[32146.857421875, 50662.0]
[29491.599609375, 46682.0]
[30371.80078125, 59228.0]
[27388.599609375, 52362.0]
