f1,f2,f3,f4,f5,f6,f7,f8
119705,554,156,5,1742,194,966,0.6000000000000001	
181923,8,129,14,867,109,1288,0.8246753246753247	
139050,283,83,6,1266,185,1148,0.7424242424242424	
164713,234,164,10,1350,74,1139,0.7454545454545455	
146929,227,164,9,1564,136,869,0.7070707070707071	
154474,63,157,12,792,180,1370,0.8257575757575758	
127526,264,140,6,1282,162,1152,0.696969696969697	
134899,321,137,9,1607,162,913,0.7474747474747474	
159796,480,170,10,1783,127,939,0.7454545454545455	
133428,255,155,8,1438,174,985,0.75	
162942,364,85,9,1216,176,1311,0.7474747474747475	
180096,161,163,15,884,86,1488,0.8424242424242424	
164665,68,155,10,950,144,1283,0.7818181818181819	
130031,487,174,6,1692,170,960,0.6515151515151516	
124462,554,156,6,1747,180,975,0.6515151515151516	
129260,487,174,8,1629,162,1032,0.7386363636363636	
130771,487,174,8,1623,171,1027,0.7386363636363636	
136801,373,104,6,1537,207,996,0.6818181818181819	
133585,487,174,7,1670,155,997,0.7012987012987013	
158232,454,139,8,1630,148,1051,0.7159090909090908	
146976,428,153,8,1295,140,1350,0.7159090909090908	
152809,2,156,10,620,160,1470,0.8272727272727273	
151433,55,92,10,811,149,1384,0.8090909090909091	
126399,176,176,5,1278,208,1002,0.6181818181818182	
150914,2,125,11,614,152,1476,0.8429752066115702	
162686,193,121,13,991,70,1418,0.8181818181818181	
140762,233,143,7,1500,170,901,0.6753246753246753	
126804,176,135,5,1397,190,918,0.6000000000000001	
130333,105,151,9,907,159,1326,0.797979797979798	
125567,190,157,5,1168,246,1103,0.6727272727272727	
154150,354,101,10,1326,119,1262,0.7818181818181819	
161564,405,159,13,1399,71,1266,0.7972027972027972	
169349,174,159,11,1405,130,999,0.7520661157024793	
168895,508,167,11,1334,76,1443,0.7768595041322314	
139984,14,155,8,721,159,1394,0.7727272727272727	
161194,9,148,13,702,145,1392,0.8251748251748252	
155452,53,153,11,692,145,1465,0.8512396694214877	
154149,15,157,15,849,124,1315,0.8363636363636364	
146395,128,166,13,1248,155,1031,0.8041958041958042	
129428,247,135,5,1295,189,1087,0.6363636363636364	
134173,144,175,7,1186,183,1068,0.7272727272727273	
132561,157,176,6,1132,189,1136,0.6666666666666667	
134923,157,148,6,1113,188,1156,0.6818181818181819	
135627,157,148,7,1120,192,1145,0.7012987012987013	
153228,395,162,8,1316,112,1311,0.7045454545454546	
176088,171,155,15,930,88,1433,0.8303030303030303	
131213,167,149,7,1037,191,1239,0.7402597402597403	
129926,167,149,7,1034,188,1239,0.7532467532467533	
134056,144,126,8,1023,172,1267,0.75	
153780,88,136,10,742,133,1472,0.8181818181818181	
152861,162,154,13,1066,102,1275,0.8041958041958042	
164702,185,162,9,1082,121,1329,0.7474747474747475	
135576,172,160,7,961,198,1320,0.7792207792207793	
147195,223,138,7,1080,164,1277,0.7012987012987013	
157197,30,157,14,979,109,1210,0.8376623376623377	
169721,130,83,10,1338,135,973,0.7636363636363637	
148333,781,135,6,2066,129,982,0.5909090909090908	
